GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
83857	0.36483	5.07e-03	0.266	2.8026713	0.7468628	507.54	TMTC1	transmembrane O-mannosyltransferase targeting cadherins 1
9557	0.40487	6.13e-03	0.326	-2.740701	-0.8935771	338.62	CHD1L	chromodomain helicase DNA binding protein 1 like
57471	0.40487	6.22e-03	0.574	-2.7360205	-1.5702002	2045.34	ERMN	ermin
604	0.40487	6.12e-03	0.376	2.7412717	1.0312284	672.48	BCL6	BCL6 transcription repressor
83641	0.40487	6.45e-03	0.489	-2.7240644	-1.3309496	645.3	FAM107B	family with sequence similarity 107 member B
8505	0.40487	6.30e-03	0.326	-2.7316861	-0.8900882	435.03	PARG	poly(ADP-ribose) glycohydrolase
58473	0.40487	5.74e-03	0.374	-2.762311	-1.0327806	1730.85	PLEKHB1	pleckstrin homology domain containing B1
5992	0.40487	6.11e-03	0.33	2.7416206	0.9059924	233.88	RFX4	regulatory factor X4
58517	0.40487	6.53e-03	0.202	-2.7196971	-0.5494451	1144.63	RBM25	RNA binding motif protein 25
1786	0.40487	6.51e-03	0.259	-2.7211393	-0.7061319	363.65	DNMT1	DNA methyltransferase 1
23521	0.40487	6.15e-03	0.266	-2.7397701	-0.7300848	928.63	RPL13A	ribosomal protein L13a
5116	0.40487	6.37e-03	0.276	-2.7281934	-0.7523827	1367.45	PCNT	pericentrin
100996928	0.40875	6.73e-03	0.323	-2.7101247	-0.8755547	344.98	FMC1-LUC7L2	FMC1-LUC7L2 readthrough
443	0.40875	6.81e-03	0.531	-2.7060454	-1.4359768	331.56	ASPA	aspartoacylase
100861532	0.40875	6.85e-03	0.809	-2.7041772	-2.1867899	86389.66	RNA45SN5	RNA, 45S pre-ribosomal N5
65018	0.40971	7.32e-03	0.348	-2.6819512	-0.9322467	457.69	PINK1	PTEN induced kinase 1
3765	0.40971	7.53e-03	0.382	-2.6723146	-1.0206467	413.15	KCNJ9	potassium inwardly rectifying channel subfamily J member 9
5702	0.40971	7.34e-03	0.26	-2.6811822	-0.696092	237.92	PSMC3	proteasome 26S subunit, ATPase 3
6579	0.40971	7.15e-03	0.562	-2.6896979	-1.5123913	1428.06	SLCO1A2	solute carrier organic anion transporter family member 1A2
107987206	0.40971	7.46e-03	0.432	-2.675561	-1.1551218	50122.95	LOC107987206	replaced by ID 6029
6029	0.40971	7.46e-03	0.432	-2.6757336	-1.1552245	50121.58	RN7SL1	RNA component of signal recognition particle 7SL1
12	0.40971	7.25e-03	0.524	2.6852058	1.4071882	830.22	SERPINA3	serpin family A member 3
56850	0.40971	7.24e-03	0.294	-2.685523	-0.7895671	567.73	GRIPAP1	GRIP1 associated protein 1
166	0.41417	7.70e-03	0.306	-2.6649657	-0.8159525	896.15	TLE5	TLE family member 5, transcriptional modulator
5757	0.4159	7.87e-03	0.338	-2.6577963	-0.8986977	1323.01	PTMA	prothymosin alpha
51631	0.4159	8.09e-03	0.315	-2.6484664	-0.8344264	367.6	LUC7L2	LUC7 like 2, pre-mRNA splicing factor
10284	0.4159	8.09e-03	0.413	-2.6481782	-1.0948931	455.72	SAP18	Sin3A associated protein 18
728689	0.4159	8.16e-03	0.267	-2.6455227	-0.7052237	588.12	EIF3CL	eukaryotic translation initiation factor 3 subunit C like
8663	0.4159	7.92e-03	0.258	-2.6556151	-0.6842475	572.53	EIF3C	eukaryotic translation initiation factor 3 subunit C
105374056	0.4179	8.28e-03	0.389	2.6403871	1.0261252	288.92	LOC105374056	uncharacterized LOC105374056
10397	0.42236	8.46e-03	0.464	-2.6333083	-1.2208186	1443.58	NDRG1	N-myc downstream regulated 1
5629	0.43543	8.81e-03	0.29	-2.61948	-0.7585852	270.54	PROX1	prospero homeobox 1
4736	0.46177	9.53e-03	0.352	-2.5925111	-0.9127233	422.05	RPL10A	ribosomal protein L10a
387486	0.46177	9.46e-03	0.545	-2.594852	-1.4135477	247.26	LINC00320	long intergenic non-protein coding RNA 320
58476	0.46721	9.83e-03	0.724	-2.5817171	-1.8685798	1184.18	TP53INP2	tumor protein p53 inducible nuclear protein 2
8243	0.46721	9.75e-03	0.264	-2.5847148	-0.6828759	769.07	SMC1A	structural maintenance of chromosomes 1A
8660	0.47051	1.00e-02	0.267	2.5759493	0.6886462	470.47	IRS2	insulin receptor substrate 2
7078	0.4738	1.02e-02	0.299	2.5702288	0.7685473	537.57	TIMP3	TIMP metallopeptidase inhibitor 3
8073	0.4744	1.03e-02	0.498	-2.5664997	-1.2782435	2295.22	PTP4A2	protein tyrosine phosphatase 4A2
9669	0.47534	1.08e-02	0.337	-2.549783	-0.8597071	756.85	EIF5B	eukaryotic translation initiation factor 5B
9839	0.47534	1.07e-02	0.457	-2.5536438	-1.1673062	4156.07	ZEB2	zinc finger E-box binding homeobox 2
2247	0.47534	1.04e-02	0.405	2.5606482	1.0360893	426.17	FGF2	fibroblast growth factor 2
6563	0.47534	1.05e-02	0.45	2.5591559	1.150608	475.65	SLC14A1	solute carrier family 14 member 1 (Kidd blood group)
55861	0.47534	1.07e-02	0.469	-2.5520733	-1.1973027	219.12	DBNDD2	dysbindin domain containing 2
6206	0.47856	1.11e-02	0.432	-2.5381099	-1.0957092	729.46	RPS12	ribosomal protein S12
51196	0.47856	1.11e-02	0.312	2.5404303	0.7915405	435.54	PLCE1	phospholipase C epsilon 1
9846	0.47856	1.10e-02	0.463	-2.5436623	-1.1784949	977.38	GAB2	GRB2 associated binding protein 2
122060	0.47868	1.13e-02	0.487	-2.5319338	-1.2321123	1035.18	SLAIN1	SLAIN motif family member 1
4744	0.47868	1.13e-02	0.508	-2.5321706	-1.2862637	492.35	NEFH	neurofilament heavy chain
596	0.4795	1.15e-02	0.303	2.528318	0.7650477	273.56	BCL2	BCL2 apoptosis regulator
960	0.48677	1.19e-02	0.462	2.5141838	1.1624587	529.01	CD44	CD44 molecule (Indian blood group)
283131	0.48677	1.20e-02	0.428	2.5110802	1.0759386	8711.06	NEAT1	nuclear paraspeckle assembly transcript 1
196527	0.48677	1.21e-02	0.327	2.5082348	0.8191064	234.65	ANO6	anoctamin 6
84687	0.48677	1.24e-02	0.343	-2.5008518	-0.856634	562.03	PPP1R9B	protein phosphatase 1 regulatory subunit 9B
63895	0.48677	1.21e-02	0.473	-2.5082187	-1.1852216	310.01	PIEZO2	piezo type mechanosensitive ion channel component 2
84735	0.48677	1.18e-02	0.524	-2.5169319	-1.3192287	241.04	CNDP1	carnosine dipeptidase 1
8537	0.48677	1.24e-02	0.732	-2.4996876	-1.8289562	4227.91	BCAS1	brain enriched myelin associated protein 1
116448	0.48677	1.23e-02	0.446	-2.5028405	-1.1153546	231.91	OLIG1	oligodendrocyte transcription factor 1
7343	0.4877	1.26e-02	0.221	-2.4961856	-0.5516135	358.59	UBTF	upstream binding transcription factor
6284	0.49508	1.31e-02	0.242	-2.4797323	-0.6006883	253.83	S100A13	S100 calcium binding protein A13
79957	0.49508	1.30e-02	0.53	-2.4831182	-1.3171336	533.45	PAQR6	progestin and adipoQ receptor family member 6
3655	0.49508	1.31e-02	0.315	2.4810095	0.7825179	350.88	ITGA6	integrin subunit alpha 6
9770	0.49508	1.30e-02	0.448	-2.4827112	-1.1120356	997.22	RASSF2	Ras association domain family member 2
9656	0.50227	1.36e-02	0.254	-2.4664205	-0.626504	224.88	MDC1	mediator of DNA damage checkpoint 1
8725	0.50227	1.35e-02	0.406	-2.4691693	-1.0034798	474.58	URI1	URI1 prefoldin like chaperone
7052	0.50227	1.36e-02	0.487	2.46695	1.200319	259.25	TGM2	transglutaminase 2
6233	0.50587	1.42e-02	0.401	-2.4512909	-0.9818109	557.65	RPS27A	ribosomal protein S27a
8502	0.50587	1.41e-02	0.492	-2.4552308	-1.2069867	2717.18	PKP4	plakophilin 4
219654	0.50587	1.40e-02	0.488	-2.4565134	-1.1980942	1017.12	ZCCHC24	zinc finger CCHC-type containing 24
84193	0.50587	1.41e-02	0.35	-2.4555055	-0.8592522	480.37	SETD3	SET domain containing 3, actin histidine methyltransferase
6143	0.50587	1.43e-02	0.353	-2.4506059	-0.8648619	1407.35	RPL19	ribosomal protein L19
11145	0.50997	1.45e-02	0.431	-2.4447128	-1.0532834	243.22	PLAAT3	phospholipase A and acyltransferase 3
5830	0.50997	1.46e-02	0.308	-2.4425139	-0.752663	224.52	PEX5	peroxisomal biogenesis factor 5
1356	0.51135	1.47e-02	0.441	2.4389623	1.0760947	442.71	CP	ceruloplasmin
1327	0.51855	1.50e-02	0.331	-2.4313519	-0.8047813	633.54	COX4I1	cytochrome c oxidase subunit 4I1
5334	0.52255	1.54e-02	0.457	-2.4234867	-1.1074543	604.58	PLCL1	phospholipase C like 1 (inactive)
7508	0.52255	1.53e-02	0.26	-2.424561	-0.6314632	222.99	XPC	XPC complex subunit, DNA damage recognition and repair factor
389337	0.52548	1.59e-02	0.454	-2.4120338	-1.093892	266.56	ARHGEF37	Rho guanine nucleotide exchange factor 37
10135	0.52548	1.57e-02	0.376	2.4156331	0.9076145	381.42	NAMPT	nicotinamide phosphoribosyltransferase
55833	0.52548	1.59e-02	0.305	-2.411479	-0.7361238	358.33	UBAP2	ubiquitin associated protein 2
27106	0.52548	1.56e-02	0.569	-2.4176871	-1.3757548	220.11	ARRDC2	arrestin domain containing 2
84440	0.53344	1.62e-02	0.346	-2.4035332	-0.8320234	917.96	RAB11FIP4	RAB11 family interacting protein 4
2040	0.53612	1.64e-02	0.348	2.3992513	0.8358824	571.55	STOM	stomatin
92999	0.54895	1.69e-02	0.434	-2.3881394	-1.0366367	458.25	ZBTB47	zinc finger and BTB domain containing 47
26058	0.55074	1.77e-02	0.251	-2.3712152	-0.5961048	806.39	GIGYF2	GRB10 interacting GYF protein 2
11167	0.55074	1.80e-02	0.341	2.3648045	0.805228	269.17	FSTL1	follistatin like 1
50859	0.55074	1.85e-02	0.503	-2.3545161	-1.1831587	438.25	SPOCK3	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3
153527	0.55074	1.85e-02	0.332	-2.3556942	-0.7813191	236.32	ZMAT2	zinc finger matrin-type 2
222166	0.55074	1.84e-02	0.556	-2.3570204	-1.3106297	11830.1	MTURN	maturin, neural progenitor differentiation regulator homolog
83943	0.55074	1.76e-02	0.29	2.3749077	0.6897065	268.56	IMMP2L	inner mitochondrial membrane peptidase subunit 2
25792	0.55074	1.86e-02	0.238	-2.3541693	-0.5612902	473.88	CIZ1	CDKN1A interacting zinc finger protein 1
1793	0.55074	1.82e-02	0.421	-2.361686	-0.9931982	1404.02	DOCK1	dedicator of cytokinesis 1
2799	0.55074	1.75e-02	0.292	2.3763059	0.6937752	246.51	GNS	glucosamine (N-acetyl)-6-sulfatase
6176	0.55074	1.75e-02	0.307	-2.3763763	-0.7303506	574.93	RPLP1	ribosomal protein lateral stalk subunit P1
85445	0.55074	1.77e-02	0.344	-2.3714346	-0.8146997	530.37	CNTNAP4	contactin associated protein family member 4
4670	0.55074	1.79e-02	0.329	-2.3670693	-0.7793431	466.7	HNRNPM	heterogeneous nuclear ribonucleoprotein M
107985430	0.55074	1.84e-02	0.215	2.3580053	0.5077903	216.69	LOC107985430	
5354	0.55074	1.83e-02	0.549	-2.3600679	-1.2951551	7569.14	PLP1	proteolipid protein 1
6711	0.55311	1.91e-02	0.325	-2.3437512	-0.7625104	13158.09	SPTBN1	spectrin beta, non-erythrocytic 1
66008	0.55311	1.92e-02	0.438	-2.3414498	-1.0253511	1173.03	TRAK2	trafficking kinesin protein 2
107984131	0.55311	1.91e-02	0.33	2.3433601	0.7733658	226.28	LOC107984131	uncharacterized LOC107984131
6489	0.55311	1.90e-02	0.331	2.3452763	0.7759804	255.96	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1
6095	0.55311	1.91e-02	0.244	2.3443823	0.5718064	698.72	RORA	RAR related orphan receptor A
84133	0.55606	1.94e-02	0.216	2.3372713	0.5052492	235.34	ZNRF3	zinc and ring finger 3
7779	0.5612	2.01e-02	0.371	2.3243485	0.8626247	263.53	SLC30A1	solute carrier family 30 member 1
23132	0.5612	2.02e-02	0.239	-2.3230246	-0.5552829	315.04	RAD54L2	RAD54 like 2
107986350	0.5612	2.01e-02	0.436	2.3238873	1.0132921	238.75	LOC107986350	uncharacterized LOC107986350
57480	0.5612	1.99e-02	0.317	2.3287754	0.7374168	291.68	PLEKHG1	pleckstrin homology and RhoGEF domain containing G1
116154	0.5612	1.98e-02	0.324	-2.330929	-0.7557937	716.19	PHACTR3	phosphatase and actin regulator 3
6829	0.56264	2.03e-02	0.264	-2.3199322	-0.6133847	373.7	SUPT5H	SPT5 homolog, DSIF elongation factor subunit
25780	0.56351	2.05e-02	0.427	-2.3172271	-0.9895219	222.69	RASGRP3	RAS guanyl releasing protein 3
5159	0.57228	2.09e-02	0.28	2.3092976	0.6464771	350.35	PDGFRB	platelet derived growth factor receptor beta
114885	0.57518	2.12e-02	0.376	2.3052828	0.8661171	295.73	OSBPL11	oxysterol binding protein like 11
54543	0.57874	2.15e-02	0.359	-2.2987685	-0.8251241	251.65	TOMM7	translocase of outer mitochondrial membrane 7
780853	0.57874	2.15e-02	0.394	2.2997606	0.905619	3316.29	SNORD3C	small nucleolar RNA, C/D box 3C
1639	0.58108	2.21e-02	0.296	-2.2892999	-0.6785936	1543.62	DCTN1	dynactin subunit 1
10988	0.58108	2.22e-02	0.335	-2.2869544	-0.7670072	366.16	METAP2	methionyl aminopeptidase 2
22846	0.58108	2.20e-02	0.309	-2.2899364	-0.706739	240.84	VASH1	vasohibin 1
91369	0.58108	2.22e-02	0.482	-2.2874988	-1.1021026	1480.05	ANKRD40	ankyrin repeat domain 40
4550	0.58108	2.22e-02	0.668	-2.28762	-1.52849	34604.87	RNR2	l-rRNA
26059	0.58787	2.26e-02	0.335	-2.280499	-0.7631886	1287.95	ERC2	ELKS/RAB6-interacting/CAST family member 2
23303	0.58831	2.27e-02	0.338	-2.2781893	-0.7711434	554.66	KIF13B	kinesin family member 13B
55672	0.59065	2.33e-02	0.28	-2.2686726	-0.6363194	328.27	NBPF1	NBPF member 1
5337	0.59065	2.32e-02	0.383	-2.2696363	-0.8687787	242.45	PLD1	phospholipase D1
4988	0.59065	2.33e-02	0.445	2.2691404	1.0105236	245.17	OPRM1	opioid receptor mu 1
55614	0.59065	2.30e-02	0.231	-2.2732851	-0.5243856	372.59	KIF16B	kinesin family member 16B
4513	0.59801	2.37e-02	0.505	-2.2619519	-1.1413049	50493.85	COX2	cytochrome c oxidase subunit II
6319	0.60101	2.41e-02	0.444	-2.2562934	-1.0029053	3137.3	SCD	stearoyl-CoA desaturase
65125	0.60101	2.42e-02	0.427	-2.2541358	-0.963134	5359.92	WNK1	WNK lysine deficient protein kinase 1
6457	0.60101	2.41e-02	0.448	-2.255662	-1.0094259	722.49	SH3GL3	SH3 domain containing GRB2 like 3, endophilin A3
100861548	0.60143	2.45e-02	0.334	-2.2499774	-0.751431	238.68	PINK1-AS	PINK1 antisense RNA
92521	0.60143	2.43e-02	0.285	-2.2518922	-0.642762	1391.03	SPECC1	sperm antigen with calponin homology and coiled-coil domains 1
55677	0.60232	2.48e-02	0.312	-2.2450512	-0.7000101	385.88	IWS1	interacts with SUPT6H, CTD assembly factor 1
55755	0.60232	2.53e-02	0.329	-2.2360611	-0.7345608	834.28	CDK5RAP2	CDK5 regulatory subunit associated protein 2
121601	0.60232	2.53e-02	0.29	-2.2375368	-0.6498178	336.54	ANO4	anoctamin 4
26353	0.60232	2.53e-02	0.333	2.2374556	0.7443033	248.24	HSPB8	heat shock protein family B (small) member 8
1783	0.60232	2.51e-02	0.49	-2.23925	-1.096584	2136.46	DYNC1LI2	dynein cytoplasmic 1 light intermediate chain 2
163175	0.60232	2.49e-02	0.36	2.2432289	0.8083467	260.71	LGI4	leucine rich repeat LGI family member 4
4099	0.60232	2.50e-02	0.538	-2.2419621	-1.2053063	295.2	MAG	myelin associated glycoprotein
721	0.60667	2.57e-02	0.362	2.2313971	0.8087477	410.78	C4B	complement C4B (Chido blood group)
140597	0.6153	2.61e-02	0.324	-2.2240435	-0.7202069	263.6	TCEAL2	transcription elongation factor A like 2
152503	0.61574	2.65e-02	0.373	-2.2181923	-0.8267586	351.57	SH3D19	SH3 domain containing 19
56254	0.61574	2.63e-02	0.298	-2.2214568	-0.6614089	477.3	RNF20	ring finger protein 20
4637	0.61574	2.65e-02	0.291	-2.2195015	-0.6459866	378.78	MYL6	myosin light chain 6
10726	0.61851	2.70e-02	0.296	-2.2112688	-0.653599	235.46	NUDC	nuclear distribution C, dynein complex regulator
114932	0.61851	2.71e-02	0.27	-2.2102223	-0.5974102	317.25	MRFAP1L1	Morf4 family associated protein 1 like 1
5137	0.61851	2.71e-02	0.438	-2.2097084	-0.9671042	718.54	PDE1C	phosphodiesterase 1C
9638	0.61851	2.72e-02	0.361	-2.2091168	-0.797521	932.22	FEZ1	fasciculation and elongation protein zeta 1
55700	0.61886	2.74e-02	0.32	-2.2056256	-0.7061458	424.61	MAP7D1	MAP7 domain containing 1
11190	0.61886	2.74e-02	0.258	-2.20528	-0.5699528	507.66	CEP250	centrosomal protein 250
107985779	0.61905	2.76e-02	0.386	2.2033577	0.8510527	275.13	LOC107985779	uncharacterized LOC107985779
7107	0.62002	2.87e-02	0.323	2.1870096	0.7056264	264.89	GPR137B	G protein-coupled receptor 137B
400961	0.62002	2.88e-02	0.569	-2.1857018	-1.2426565	1719.55	PAIP2B	poly(A) binding protein interacting protein 2B
6168	0.62002	2.94e-02	0.397	-2.1786341	-0.8650689	1119.4	RPL37A	ribosomal protein L37a
6949	0.62002	2.93e-02	0.267	-2.1798478	-0.5809917	234.19	TCOF1	treacle ribosome biogenesis factor 1
10211	0.62002	2.82e-02	0.313	-2.1950097	-0.6873281	475.72	FLOT1	flotillin 1
1902	0.62002	2.94e-02	0.703	-2.1782658	-1.5323511	1674.08	LPAR1	lysophosphatidic acid receptor 1
29119	0.62002	2.89e-02	0.573	-2.184266	-1.2508989	910.7	CTNNA3	catenin alpha 3
7439	0.62002	2.78e-02	0.338	-2.2005735	-0.7446798	1843.81	BEST1	bestrophin 1
144348	0.62002	2.87e-02	0.429	-2.1872114	-0.9377372	812.22	ZNF664	zinc finger protein 664
10206	0.62002	2.89e-02	0.356	2.1849877	0.7774656	241.86	TRIM13	tripartite motif containing 13
23093	0.62002	2.89e-02	0.272	-2.1852576	-0.5947386	301.24	TTLL5	tubulin tyrosine ligase like 5
140735	0.62002	2.93e-02	0.317	-2.178787	-0.6902532	628.97	DYNLL2	dynein light chain LC8-type 2
4294	0.62002	2.93e-02	0.345	-2.1795497	-0.7515075	223.3	MAP3K10	mitogen-activated protein kinase kinase kinase 10
59283	0.62002	2.79e-02	0.414	-2.1991576	-0.9103515	365.43	CACNG8	calcium voltage-gated channel auxiliary subunit gamma 8
8871	0.62051	2.95e-02	0.41	-2.1762591	-0.892199	722.14	SYNJ2	synaptojanin 2
1207	0.62294	2.99e-02	0.353	-2.1713301	-0.7660209	399.67	CLNS1A	chloride nucleotide-sensitive channel 1A
125144	0.62294	2.99e-02	0.331	-2.1713743	-0.7182351	238.6	SNHG29	small nucleolar RNA host gene 29
1021	0.62533	3.02e-02	0.39	-2.1669789	-0.8459827	341.32	CDK6	cyclin dependent kinase 6
6526	0.62533	3.03e-02	0.381	2.1664538	0.8252521	479.36	SLC5A3	solute carrier family 5 member 3
6599	0.62855	3.07e-02	0.376	-2.1610796	-0.811641	771.06	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1
1936	0.62855	3.07e-02	0.291	-2.1614546	-0.6285994	336.44	EEF1D	eukaryotic translation elongation factor 1 delta
9053	0.6294	3.09e-02	0.318	-2.1586325	-0.6866708	982.06	MAP7	microtubule associated protein 7
